company,number,symbol,ytd_return
"Robinhood Markets, Inc.",1,HOOD,267.79
Western Digital,2,WDC,170.18
Newmont,3,NEM,155.19
Seagate Technology,4,STX,149.11
Micron Technology,5,MU,146.49
Palantir Technologies,6,PLTR,140.27
Lam Research,7,LRCX,99.26
Advanced Micro Devices,8,AMD,99.23
Intel,9,INTC,90.28
NRG Energy,10,NRG,83.86
CVS Health,11,CVS,83.76
Amphenol,12,APH,83.65
KLA Corporation,13,KLAC,82.58
GE Aerospace,14,GE,81.97
Supermicro,15,SMCI,81.21
GE Vernova,16,GEV,80.99
Corning Inc.,17,GLW,79.84
"Tapestry, Inc.",18,TPR,77.61
AppLovin Corporation,19,APP,75.34
Howmet Aerospace,20,HWM,75.32
Monolithic Power Systems,21,MPWR,74.48
Warner Bros. Discovery,22,WBD,73.37
Oracle Corporation,23,ORCL,66.43
Constellation Energy,24,CEG,65.84
Paramount Skydance Corp,25,PSKY,62.08
TE Connectivity,26,TEL,58.20
DoorDash,27,DASH,57.94
Idexx Laboratories,28,IDXX,55.66
Uber,29,UBER,55.42
"EMCOR Group, Inc.",30,EME,54.77
eBay,31,EBAY,54.45
Interactive Brokers Group,32,IBKR,51.33
Broadcom,33,AVGO,50.52
Huntington Ingalls Industries,34,HII,50.29
Cencora,35,COR,48.76
CrowdStrike,36,CRWD,47.05
Caterpillar Inc.,37,CAT,46.66
Ralph Lauren Corporation,38,RL,45.24
Take-Two Interactive,39,TTWO,42.44
Jabil,40,JBL,42.40
United Rentals,41,URI,42.04
Wynn Resorts,42,WYNN,41.85
Vistra Corp.,43,VST,41.44
HCA Healthcare,44,HCA,41.32
BNY Mellon,45,BK,41.22
Citigroup,46,C,41.15
Welltower,47,WELL,40.95
Quanta Services,48,PWR,40.49
Applied Materials,49,AMAT,40.46
Dollar General,50,DG,39.80
Netflix,51,NFLX,39.30
Johnson Controls,52,JCI,39.20
RTX Corporation,53,RTX,38.98
Coinbase Global,54,COIN,38.83
McKesson Corporation,55,MCK,38.70
Aptiv,56,APTV,37.99
Estée Lauder Companies (The),57,EL,37.90
L3Harris,58,LHX,37.79
Electronic Arts,59,EA,37.07
Nvidia,60,NVDA,36.19
Allegion,61,ALLE,36.18
Alphabet Inc. (Class A),62,GOOGL,35.73
Alphabet Inc. (Class C),63,GOOG,35.19
Hasbro,64,HAS,34.35
Goldman Sachs,65,GS,33.89
Johnson & Johnson,66,JNJ,33.74
Gilead Sciences,67,GILD,33.57
Cardinal Health,68,CAH,32.98
Marathon Petroleum,69,MPC,32.87
Arista Networks,70,ANET,32.76
Dollar Tree,71,DLTR,32.19
